City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Vaini,TO,75.36,few clouds,-21.2,-175.2,Keleti Beach Resort
1,Hilo,US,79.25,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
5,Bengkulu,ID,74.73,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
7,Butaritari,KI,81.36,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
8,Mahebourg,MU,75.49,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
9,Bintulu,MY,75.61,few clouds,3.1667,113.0333,900 Boutique INN
10,Ponta Do Sol,PT,76.01,overcast clouds,32.6667,-17.1,Hotel do Campo
12,Kudahuvadhoo,MV,82.72,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
18,Nantucket,US,70.14,clear sky,41.2835,-70.0995,Jared Coffin House
20,Moussoro,TD,86.85,overcast clouds,13.6408,16.4901,Hôtel Maltina
29,Rikitea,PF,74.25,clear sky,-23.1203,-134.9692,People ThankYou
32,Hithadhoo,MV,81.05,overcast clouds,-0.6,73.0833,Scoop Guest House
33,Kandrian,PG,75.76,light rain,-6.2167,149.55,Kandrian Station
36,Victoria,HK,80.33,overcast clouds,22.2855,114.1577,Mini Hotel Central
43,Tikapur,NP,70.77,clear sky,28.5,81.1333,BANANA AGRO RESORT
44,Rabaul,PG,79.97,broken clouds,-4.1967,152.1721,Rabaul Hotel
46,Avarua,CK,77.05,few clouds,-21.2078,-159.775,Paradise Inn
49,Thinadhoo,MV,82.0,broken clouds,0.5333,72.9333,
50,Bilma,NE,86.88,clear sky,18.6853,12.9164,
53,Lake Havasu City,US,79.11,clear sky,34.4839,-114.3224,
57,Saint George,US,70.63,clear sky,37.1041,-113.5841,
61,Laguna,US,70.09,overcast clouds,38.421,-121.4238,
69,Albany,US,72.59,scattered clouds,42.6001,-73.9662,
76,Atuona,PF,76.95,light rain,-9.8,-139.0333,
77,Stabat,ID,75.4,moderate rain,3.761,98.4513,
79,Kailua,US,80.74,clear sky,21.4022,-157.7394,
80,Dahanu,IN,76.32,clear sky,19.9667,72.7333,
89,Sao Filipe,CV,82.2,clear sky,14.8961,-24.4956,
90,Saint-Philippe,RE,72.95,scattered clouds,-21.3585,55.7679,
92,Ishigaki,JP,79.63,overcast clouds,24.3448,124.1572,
93,Indiaroba,BR,79.45,overcast clouds,-11.5192,-37.5117,
94,Meulaboh,ID,75.38,light rain,4.1363,96.1285,
95,Hobyo,SO,78.26,broken clouds,5.3505,48.5268,
97,Houston,US,88.34,scattered clouds,29.7633,-95.3633,
98,Pitimbu,BR,84.79,clear sky,-7.4706,-34.8086,
99,Dicabisagan,PH,76.59,scattered clouds,17.0818,122.4157,
102,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,
103,Kawalu,ID,71.69,broken clouds,-7.3817,108.2082,
106,Tual,ID,82.44,overcast clouds,-5.6667,132.75,
107,Saint-Georges,GD,85.68,scattered clouds,12.0564,-61.7485,
108,Taoudenni,ML,79.3,clear sky,22.6783,-3.9836,
114,Hambantota,LK,78.98,overcast clouds,6.1241,81.1185,
117,Aguimes,ES,70.66,few clouds,27.9054,-15.4461,
120,Jalalabad,AF,73.26,clear sky,34.4265,70.4515,
123,Rayadrug,IN,78.42,overcast clouds,14.7,76.8667,
126,Hurghada,EG,77.04,clear sky,27.2574,33.8129,
127,Monte Patria,CL,75.34,clear sky,-30.6919,-70.9467,
128,Tautira,PF,84.22,light rain,-17.7333,-149.15,
133,Karratha,AU,71.29,clear sky,-20.7377,116.8463,
136,Kapaa,US,79.2,few clouds,22.0752,-159.319,
138,Port Keats,AU,82.92,broken clouds,-14.25,129.55,
140,Westport,US,79.09,scattered clouds,41.1415,-73.3579,
141,Sechura,PE,77.22,scattered clouds,-5.5569,-80.8222,
142,Casablanca,MA,71.94,broken clouds,33.5928,-7.6192,
145,Aden,YE,85.12,broken clouds,12.7794,45.0367,
146,Sri Aman,MY,77.09,light rain,1.2376,111.4621,
147,Sur,OM,79.43,broken clouds,22.5667,59.5289,
148,Leticia,CO,84.18,broken clouds,-4.2153,-69.9406,
149,Sturgis,US,73.72,clear sky,41.7992,-85.4192,
153,Yantzaza,EC,81.41,broken clouds,-3.8278,-78.7594,
155,Faanui,PF,79.02,light rain,-16.4833,-151.75,
156,Puerto Ayora,EC,78.76,overcast clouds,-0.7393,-90.3518,
159,Wagar,SD,85.71,clear sky,16.1525,36.2032,
164,Georgetown,MY,76.95,scattered clouds,5.4112,100.3354,
166,Isangel,VU,77.11,overcast clouds,-19.55,169.2667,
167,Kahului,US,80.62,few clouds,20.8947,-156.47,
170,Caxito,AO,77.65,overcast clouds,-8.5785,13.6643,
172,Itarema,BR,82.58,overcast clouds,-2.9248,-39.9167,
175,Salalah,OM,76.71,broken clouds,17.0151,54.0924,
176,Turan,VN,78.78,scattered clouds,16.0678,108.2208,
178,Souillac,MU,75.58,light rain,-20.5167,57.5167,
179,Jales,BR,78.58,clear sky,-20.2689,-50.5458,
180,Kununurra,AU,80.58,overcast clouds,-15.7667,128.7333,
184,Lorengau,PG,81.0,broken clouds,-2.0226,147.2712,
188,San Juan De Uraba,CO,83.53,overcast clouds,8.7592,-76.5297,
192,Rawah,IQ,70.05,clear sky,34.4816,41.9093,
194,Sal Rei,CV,81.16,clear sky,16.1833,-22.9167,
195,Gaoual,GN,82.11,overcast clouds,11.75,-13.2,
200,Lompoc,US,76.78,clear sky,34.6391,-120.4579,
203,Basco,PH,80.74,few clouds,20.4487,121.9702,
205,Hong Gai,VN,78.71,overcast clouds,20.956,107.0946,
211,Langsa,ID,73.35,moderate rain,4.4683,97.9683,
212,Sanand,IN,73.62,clear sky,22.9833,72.3833,
214,Bambous Virieux,MU,75.45,light rain,-20.3428,57.7575,
217,Stephenville,US,84.54,broken clouds,32.2207,-98.2023,
218,Tucupita,VE,88.5,broken clouds,9.0622,-62.051,
219,Vanimo,PG,76.12,overcast clouds,-2.6741,141.3028,
220,Tabou,CI,77.68,light rain,4.423,-7.3528,
223,San Cristobal,VE,78.98,few clouds,7.7669,-72.225,
226,Cumberland,US,83.48,clear sky,35.0502,-78.8664,
231,Myitkyina,MM,73.24,overcast clouds,25.3833,97.4,
236,Tiarei,PF,84.22,light rain,-17.5333,-149.3333,
238,Misrikh,IN,71.37,clear sky,27.45,80.5167,
242,Branford,US,77.9,clear sky,41.2795,-72.8151,
244,Parsons,US,73.11,scattered clouds,37.3403,-95.2611,
251,Springdale,US,73.13,overcast clouds,36.1867,-94.1288,
252,Jatibonico,CU,82.65,overcast clouds,21.9419,-79.17,
253,Avera,US,78.94,broken clouds,33.194,-82.5271,
255,Malakal,SS,74.79,broken clouds,9.5334,31.6605,
256,Kochi,IN,75.18,light rain,9.9399,76.2602,
257,San Jose De Buan,PH,73.13,broken clouds,12.0529,125.0251,
258,Bethel,US,76.69,broken clouds,41.3712,-73.414,
260,Kanker,IN,70.11,scattered clouds,20.2719,81.4931,
263,Surt,LY,72.55,broken clouds,31.2089,16.5887,
267,Salinas,US,70.02,overcast clouds,36.6777,-121.6555,
270,Butterworth,MY,77.05,scattered clouds,5.3991,100.3638,
272,Namatanai,PG,79.83,light rain,-3.6667,152.4333,
280,Buala,SB,80.65,light rain,-8.145,159.5921,
284,Moron,AR,80.06,few clouds,-34.6534,-58.6198,
289,Nushki,PK,71.19,clear sky,29.5542,66.0215,
290,Banamba,ML,80.82,overcast clouds,13.55,-7.45,
293,Turbat,PK,77.43,clear sky,26.0023,63.044,
294,Pochutla,MX,85.82,overcast clouds,15.7432,-96.4661,
297,Querendaro,MX,74.1,scattered clouds,19.8667,-100.9167,
303,Praia Da Vitoria,PT,70.05,scattered clouds,38.7333,-27.0667,
306,Lambarene,GA,74.34,light rain,-0.7001,10.2406,
312,Palmer,US,75.31,broken clouds,42.1584,-72.3287,
313,Luwuk,ID,77.32,broken clouds,-0.9516,122.7875,
314,Touros,BR,85.1,overcast clouds,-5.1989,-35.4608,
318,Diu,IN,75.72,broken clouds,20.7141,70.9822,
319,Miranda,CO,81.64,broken clouds,3.2499,-76.2281,
325,Buluang,PH,75.47,scattered clouds,13.3068,123.3425,
327,Logon,PH,81.45,broken clouds,11.3303,124.1146,
328,Dingle,PH,75.87,broken clouds,10.9995,122.6711,
331,Grand Gaube,MU,75.6,light rain,-20.0064,57.6608,
332,Ahuimanu,US,80.46,clear sky,21.4447,-157.8378,
335,Cairns,AU,80.55,broken clouds,-16.9167,145.7667,
339,Masaurhi,IN,73.99,few clouds,25.3509,85.0342,
341,Damietta,EG,73.29,clear sky,31.4165,31.8133,
343,Hamilton,US,74.35,clear sky,39.1834,-84.5333,
344,Moreira Sales,BR,75.31,scattered clouds,-24.0622,-53.0069,
345,Sasni,IN,72.57,clear sky,27.7167,78.0833,
346,Takoradi,GH,77.81,light rain,4.8845,-1.7554,
349,Bathsheba,BB,86.61,broken clouds,13.2167,-59.5167,
352,Mbuji-Mayi,CD,71.31,light rain,-6.15,23.6,
357,Eydhafushi,MV,81.54,scattered clouds,5.1033,73.0708,
358,Ixtapa,MX,88.23,clear sky,20.7,-105.2,
360,Umm Lajj,SA,79.92,clear sky,25.0213,37.2685,
362,Madimba,TZ,76.32,scattered clouds,-10.4,40.3333,
364,Mahanje,TZ,71.69,overcast clouds,-9.9333,35.3333,
365,Port Blair,IN,80.35,light rain,11.6667,92.75,
367,Sain Alto,MX,75.43,clear sky,23.5833,-103.25,
368,Camacari,BR,80.37,scattered clouds,-12.6975,-38.3242,
370,Mozarlandia,BR,85.77,overcast clouds,-14.7447,-50.5706,
373,Dire,ML,79.11,light rain,12.2833,-10.9667,
374,Springfield,US,74.03,overcast clouds,37.2153,-93.2982,
378,Bumba,CD,72.27,overcast clouds,2.1833,22.4667,
380,Kavieng,PG,80.92,light rain,-2.5744,150.7967,
