City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Vaini,TO,-21.2,-175.2,75.36,83,20,5.75,few clouds
1,Hilo,US,19.7297,-155.09,79.25,74,40,6.91,scattered clouds
2,Tiksi,RU,71.6872,128.8694,11.77,93,100,5.95,overcast clouds
3,Chuy,UY,-33.6971,-53.4616,62.65,63,81,10.87,broken clouds
4,Ushuaia,AR,-54.8,-68.3,51.42,43,75,17.27,broken clouds
5,Bengkulu,ID,-3.8004,102.2655,74.73,90,100,5.32,light rain
6,Lebu,CL,-37.6167,-73.65,56.86,78,48,8.81,scattered clouds
7,Butaritari,KI,3.0707,172.7902,81.36,74,44,9.33,scattered clouds
8,Mahebourg,MU,-20.4081,57.7,75.49,73,75,6.91,light rain
9,Bintulu,MY,3.1667,113.0333,75.61,94,20,1.99,few clouds
10,Ponta Do Sol,PT,32.6667,-17.1,76.01,79,100,6.26,overcast clouds
11,Tuktoyaktuk,CA,69.4541,-133.0374,23.0,100,75,6.91,broken clouds
12,Kudahuvadhoo,MV,2.6708,72.8944,82.72,69,78,13.09,broken clouds
13,Arraial Do Cabo,BR,-22.9661,-42.0278,64.36,94,90,5.75,light intensity drizzle
14,Henties Bay,NA,-22.116,14.2845,61.86,93,15,3.6,few clouds
15,Lashio,MM,22.9333,97.75,65.88,100,88,0.85,overcast clouds
16,Punta Arenas,CL,-53.15,-70.9167,53.71,35,20,32.21,few clouds
17,Yellowknife,CA,62.456,-114.3525,43.41,75,75,16.11,broken clouds
18,Nantucket,US,41.2835,-70.0995,70.14,61,1,12.66,clear sky
19,Ribeira Grande,PT,38.5167,-28.7,68.4,73,20,3.44,few clouds
20,Moussoro,TD,13.6408,16.4901,86.85,40,100,17.72,overcast clouds
21,Erdaojiang,CN,41.7764,126.0319,32.54,64,49,1.81,scattered clouds
22,Verkhnedneprovskiy,RU,54.9813,33.3457,46.15,91,100,18.03,light rain
23,Borovskoy,KZ,53.8,64.15,43.66,82,100,6.42,overcast clouds
24,Tasiilaq,GL,65.6145,-37.6368,29.61,56,85,10.49,overcast clouds
25,Olga,RU,43.7444,135.2892,28.47,69,10,6.35,clear sky
26,Bluff,NZ,-46.6,168.3333,47.59,58,100,3.15,overcast clouds
27,Port Alfred,ZA,-33.5906,26.891,63.88,86,7,17.49,clear sky
28,Ortakoy,TR,38.7373,34.0387,39.45,55,0,5.14,clear sky
29,Rikitea,PF,-23.1203,-134.9692,74.25,75,6,19.57,clear sky
30,Qaanaaq,GL,77.484,-69.3632,14.05,87,56,5.44,broken clouds
31,Jamestown,US,42.097,-79.2353,69.12,49,1,8.99,clear sky
32,Hithadhoo,MV,-0.6,73.0833,81.05,77,100,11.39,overcast clouds
33,Kandrian,PG,-6.2167,149.55,75.76,88,92,2.17,light rain
34,Saint-Alexandre,FR,44.2278,4.6214,65.1,75,97,11.34,overcast clouds
35,Pevek,RU,69.7008,170.3133,18.36,93,100,14.05,overcast clouds
36,Victoria,HK,22.2855,114.1577,80.33,86,88,1.01,overcast clouds
37,Kamaishi,JP,39.2667,141.8833,49.35,78,6,9.69,clear sky
38,Cape Town,ZA,-33.9258,18.4232,66.88,70,0,1.99,clear sky
39,Mar Del Plata,AR,-38.0023,-57.5575,64.42,1,20,15.01,few clouds
40,Medzilaborce,SK,49.2719,21.9007,51.82,63,93,15.43,overcast clouds
41,Upernavik,GL,72.7868,-56.1549,33.13,99,100,12.5,light snow
42,Ukiah,US,39.1502,-123.2078,60.15,87,90,10.36,overcast clouds
43,Tikapur,NP,28.5,81.1333,70.77,93,5,2.57,clear sky
44,Rabaul,PG,-4.1967,152.1721,79.97,78,68,1.97,broken clouds
45,Ryotsu,JP,38.0833,138.4333,52.79,65,100,14.03,overcast clouds
46,Avarua,CK,-21.2078,-159.775,77.05,65,20,6.91,few clouds
47,Audru,EE,58.4086,24.3739,51.96,94,100,21.45,light rain
48,Nemuro,JP,43.3236,145.575,49.01,78,100,20.15,overcast clouds
49,Thinadhoo,MV,0.5333,72.9333,82.0,75,52,12.44,broken clouds
50,Bilma,NE,18.6853,12.9164,86.88,13,0,10.51,clear sky
51,Mataura,NZ,-46.1927,168.8643,44.31,73,100,1.34,overcast clouds
52,Wajima,JP,37.4,136.9,54.59,65,93,14.09,overcast clouds
53,Lake Havasu City,US,34.4839,-114.3224,79.11,22,1,1.01,clear sky
54,Torbay,CA,47.6666,-52.7314,49.75,95,90,11.5,light rain
55,Omsukchan,RU,62.5333,155.8,-12.05,97,35,4.36,scattered clouds
56,Sergeyevka,KZ,53.88,67.4158,48.47,79,100,15.52,overcast clouds
57,Saint George,US,37.1041,-113.5841,70.63,31,1,3.0,clear sky
58,Khatanga,RU,71.9667,102.5,22.37,97,100,4.27,light snow
59,Busselton,AU,-33.65,115.3333,53.1,80,98,14.25,overcast clouds
60,Dikson,RU,73.5069,80.5464,27.19,63,74,8.25,broken clouds
61,Laguna,US,38.421,-121.4238,70.09,59,90,1.99,overcast clouds
62,Ust-Nera,RU,64.5667,143.2,4.48,95,100,2.26,overcast clouds
63,Nikolskoye,RU,59.7035,30.7861,46.87,94,100,14.63,light rain
64,Zambezi,ZM,-13.5432,23.1047,68.05,81,91,2.44,overcast clouds
65,Talnakh,RU,69.4865,88.3972,31.71,92,100,16.96,light snow
66,Kamiichi,JP,36.7,137.3667,49.78,86,90,2.91,overcast clouds
67,New Norfolk,AU,-42.7826,147.0587,48.7,76,78,3.04,broken clouds
